"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","4","26:31","Dict(\"Crepine\" => 26:31)",3,NA,NA,NA,NA,NA,"2015-12-09 Wed"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","4","33:38","Dict(\"Crepine\" => 33:38)",4,NA,NA,NA,NA,NA,"2015-12-09 Wed"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","4","41:59","Dict(\"EB\" => 41:59)",5,"Mecamylamine","17:56:00 - 17:58:00","50uM",NA,NA,"2015-12-09 Wed"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","5","1:6","Dict(\"FB-in\" => 1:6)",1,NA,NA,NA,NA,NA,"2015-12-10 Thu"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","5","7:12","Dict(\"FB-in\" => 7:12)",2,NA,NA,NA,NA,NA,"2015-12-10 Thu"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","5","14:19","Dict(\"Crepine\" => 14:19)",3,NA,NA,NA,NA,NA,"2015-12-10 Thu"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","5","23:28","Dict(\"Crepine\" => 23:28)",4,NA,NA,NA,NA,NA,"2015-12-10 Thu"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","5","30:35",NA,5,NA,NA,NA,NA,":Problematic:","2015-12-10 Thu"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","6","1:20","Dict(\"EB\" => 1:20)",1,"Mecamylamine","14:49:00 - 14:51:00","50uM",NA,NA,"2015-12-11 Fri"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","6","21:41","Dict(\"EB\"=>21:41)",2,"Mecamylamine","16:37:00 - 16:39:00","50uM",NA,NA,"2015-12-11 Fri"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","5","1:6","Dict(\"FB-in\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-14 Mon"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","5","7:12","Dict(\"Crepine\"=>7:12)",2,NA,NA,NA,NA,NA,"2015-12-14 Mon"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","5","14:19","Dict(\"FB-in\"=>14:19)",3,NA,NA,NA,NA,NA,"2015-12-14 Mon"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","5","20:40","Dict(\"EB\"=>20:40)",4,"Mecamylamine","16:26:00 - 16:28:30","50uM",NA,NA,"2015-12-14 Mon"
"*** 72H06L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","72H06","31A11","attP1","VK5","6","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-15 Tue"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","6","7:26","Dict(\"EB\"=>7:26)",2,"Picrotoxin","15:11:00 - 15:14:00","10uM",NA,NA,"2015-12-15 Tue"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","6","[27:29;31:33]","Dict(\"FB-in\"=>[27:29;31:33])",3,NA,NA,NA,NA,NA,"2015-12-15 Tue"
"*** 18A05 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","18A05","attP1","VK5","4","1:20","Dict(\"EB\"=>1:20)",1,"Picrotoxin","14:19:00 - 14:22:00","10uM",NA,NA,"2015-12-21 Mon"
"*** 18A05 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","18A05","attP1","VK5","4","21:40","Dict(\"EB\"=>21:40)",2,"Picrotoxin","15:36:00 - 15:39:00","10uM",NA,NA,"2015-12-21 Mon"
"*** 18A05 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","18A05","attP1","VK5","5","1:19","Dict(\"EB\"=>1:19)",1,"Picrotoxin","11:44:00 - 11:46:00","10uM",NA,NA,"2015-12-22 Tue"
"*** 49H05 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","4","20:24",NA,2,NA,NA,NA,NA,":Problematic:","2015-12-22 Tue"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","5","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-23 Wed"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","5","8:13","Dict(\"LAL\"=>8:13)",2,NA,NA,NA,NA,NA,"2015-12-23 Wed"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","5","16:21","Dict(\"PB-in\"=>16:21)",3,NA,NA,NA,NA,NA,"2015-12-23 Wed"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","6","1:6","Dict(\"PB-in\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-24 Thu"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","6","7:25","Dict(\"EB-in\"=>7:25)",2,"Picrotoxin","14:29:00 - 14:32:00","10uM",NA,NA,"2015-12-24 Thu"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","6","27:48","Dict(\"EB-in\"=>27:48)",3,"Picrotoxin","15:47:00 - 15:50:00","10uM",NA,NA,"2015-12-24 Thu"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","8","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","8","7:12","Dict(\"LAL\"=>7:12)",2,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 49H05 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","8","13:18","Dict(\"FB-in\"=>13:18)",3,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 49H05 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","8","19:24","Dict(\"FB-in\"=>19:24)",4,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","8","25:30","Dict(\"PB-in\"=>25:30)",5,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","8","31:36","Dict(\"PB-in\"=>31:36)",6,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","8","37:42","Dict(\"PB-in\"=>37:42)",7,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","8","43:48","Dict(\"LAL\"=>43:48)",8,NA,NA,NA,NA,NA,"2015-12-28 Mon"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","5:8","1:2",NA,NA,NA,NA,NA,NA,":Problematic:","2015-12-29 Tue"
"*** 60D05L Chrimson - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","5:8","3:8","Dict(\"LAL\"=>3:8)",1,NA,NA,NA,NA,NA,"2015-12-29 Tue"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","5:8","9:29","Dict(\"EB-in\"=>9:29)",2,"Picrotoxin","13:54:00 - 13:56:00","10uM",NA,NA,"2015-12-29 Tue"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","5:8","30:35","Dict(\"EB-in\"=>30:35)",3,NA,NA,NA,NA,NA,"2015-12-29 Tue"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","5:8","36:52","Dict(\"PB-in\"=>36:52)",4,"Picrotoxin","16:35:00 - 16:39:00","10uM",NA,NA,"2015-12-29 Tue"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","6","1:20","Dict(\"EB-in\"=>1:20)",1,"Picrotoxin","11:36:00 - 11:39:00","10uM",NA,NA,"2015-12-30 Wed"
"*** 75H04 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","75H04","attP1","VK5","6","21:27","Dict(\"EB-in\"=>21:27)",2,NA,NA,NA,NA,NA,"2015-12-30 Wed"
"*** 47G08L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","47G08","55G08","attP1","VK5","6","28:47","Dict(\"PB-in\"=>28:47)",3,"Picrotoxin","15:13:00 - 15:16:00","10uM",NA,NA,"2015-12-30 Wed"
"*** 55G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","55G08","87G07","attP1","VK5","6","48:53",NA,NA,NA,NA,NA,NA,":Problematic:","2015-12-30 Wed"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","5:6","1:6","Dict(\"EB\"=>1:6)",1,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","5:6","7:12","Dict(\"EB\"=>7:12)",2,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","5:6","13:18","Dict(\"LAL\"=>13:18)",3,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","5:6","19:24","Dict(\"LAL\"=>19:24)",4,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","5:6","25:30","Dict(\"LAL\"=>25:30)",5,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","5:6","31:36","Dict(\"LAL\"=>31:36)",6,NA,NA,NA,NA,NA,"2015-12-31 Thu"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","8","1:6","Dict(\"EB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","8","8:13","Dict(\"LAL\"=>8:13)",2,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","8","14:19","Dict(\"EB\"=>14:19)",3,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","8","20:25","Dict(\"EB\"=>20:25)",4,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","8","26:31","Dict(\"LAL\"=>26:31)",5,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","8","32:37","Dict(\"LAL\"=>32:37)",6,NA,NA,NA,NA,NA,"2016-01-04 Mon"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","5","1:6","Dict(\"EB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-05 Tue"
"*** 55G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","55G08","attP1","VK5","5","7:12","Dict(\"EB\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-05 Tue"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","5","13:18","Dict(\"EB\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-01-05 Tue"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","5","19:24","Dict(\"EB\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-01-05 Tue"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","5","25:30","Dict(\"EB\"=>25:30)",5,NA,NA,NA,NA,NA,"2016-01-05 Tue"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","5","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-06 Wed"
"*** 12G04L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","12G04","26B07","attP1","VK5","5","7:12","Dict(\"LAL\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-06 Wed"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","6","13:18","Dict(\"EB\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-01-06 Wed"
"*** 84H05L Chrimson - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","7","2:7","Dict(\"EB\"=>2:7)",1,NA,NA,NA,NA,NA,"2016-01-07 Thu"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","6","1:21","Dict(\"FB\"=>1:21)",1,"Mecamylamine","11:11:00 - 11:14:00","50uM",NA,NA,"2016-01-08 Fri"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","6","22:28","Dict(\"EB\"=>22:28)",2,NA,NA,NA,NA,NA,"2016-01-08 Fri"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","6","31:55","Dict(\"FB\"=>31:55)",3,"Mecamylamine","16:08:00 - 16:10:00","50uM",NA,NA,"2016-01-08 Fri"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","6","56:78","Dict(\"FB\"=>56:78)",4,"Mecamylamine","17:30:00 - 17:32:00","50uM",NA,NA,"2016-01-08 Fri"
"*** 60D05L Chrimson - 47G08 GCamp6m","Female","LexA","Gal4","60D05","47G08","attP1","VK5","7","1:6","Dict(\"PB-in\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-15 Fri"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","7","10:31","Dict(\"FB\"=>10:31)",2,"Mecamylamine","14:53:00 - 14:55:00","50uM",NA,NA,"2016-01-15 Fri"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","7","32:55","Dict(\"FB\"=>32:55)",3,"Mecamylamine","16:29:00 - 16:31:00","50uM",NA,NA,"2016-01-15 Fri"
"*** 60D05L Chrimson - 47G08 GCamp6m","Female","LexA","Gal4","60D05","47G08","attP1","VK5","6","1:21","Dict(\"PB-in\"=>1:21)",1,"Picrotoxin","10:40:00 - 10:42:00","10uM",NA,NA,"2016-01-16 Sat"
"*** 60D05L Chrimson - 47G08 GCamp6m","Female","LexA","Gal4","60D05","47G08","attP1","VK5","6","22:41","Dict(\"PB-in\"=>22:41)",2,"Picrotoxin","12:56:00 - 12:58:00","10uM",NA,NA,"2016-01-16 Sat"
"*** 60D05L Chrimson - 47G08 GCamp6m","Female","LexA","Gal4","60D05","47G08","attP1","VK5","6","43:48","Dict(\"PB-in\"=>43:48)",3,NA,NA,NA,NA,NA,"2016-01-16 Sat"
"*** 60D05L Chrimson - 47G08 GCamp6m","Female","LexA","Gal4","60D05","47G08","attP1","VK5","6","49:54","Dict(\"PB-in\"=>49:54)",4,NA,NA,NA,NA,NA,"2016-01-16 Sat"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","8","1:6","Dict(\"NO\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-18 Mon"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","8","7:12","Dict(\"NO\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-18 Mon"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","8","14:34","Dict(\"EB\"=>14:34)",3,"Mecamylamine","15:41:00 - 15:43:00","50uM",NA,NA,"2016-01-18 Mon"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","9","1:18","Dict(\"NO\"=>1:18)",1,"Picrotoxin","14:18:00 - 14:20:00","10uM",NA,NA,"2016-01-19 Tue"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","9","19:38","Dict(\"NO\"=>19:38)",2,"Picrotoxin","15:29:00 - 15:31:00","10uM",NA,NA,"2016-01-19 Tue"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","9","39:59","Dict(\"EB\"=>39:59)",3,"Picrotoxin","16:51:00 - 16:53:00","10uM",NA,NA,"2016-01-19 Tue"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","9","60:65","Dict(\"EB\"=>60:65)",4,NA,NA,NA,NA,NA,"2016-01-19 Tue"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","9","66:71","Dict(\"NO\"=>66:71)",5,NA,NA,NA,NA,NA,"2016-01-19 Tue"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","5","1:20","Dict(\"FB\"=>1:20)",1,"Mecamylamine","13:59:00 - 14:01:00","50uM",NA,NA,"2016-01-21 Thu"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","5","21:26","Dict(\"FB\"=>21:26)",2,NA,NA,NA,NA,NA,"2016-01-21 Thu"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","5","29:34",NA,NA,NA,NA,NA,NA,":Problematic:","2016-01-21 Thu"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","5","35:40","Dict(\"PB-out\"=>35:40)",3,NA,NA,NA,NA,NA,"2016-01-21 Thu"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","5","1:6","Dict(\"PB-out\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-27 Wed"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","5","7:12","Dict(\"LAL\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-27 Wed"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","5","13:18","Dict(\"LAL\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-01-27 Wed"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","5","19:24","Dict(\"PB-out\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-01-27 Wed"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","5","25:30","Dict(\"PB-out\"=>25:30)",5,NA,NA,NA,NA,NA,"2016-01-27 Wed"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","6","1:6","Dict(\"PB-out\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-28 Thu"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","6","7:12","Dict(\"PB-out\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-28 Thu"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","6","13:33","Dict(\"PB-out\"=>13:33)",3,"Mecamylamine","15:06:00 - 15:08:00","50uM",NA,":Problematic:","2016-01-28 Thu"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","6","34:54","Dict(\"FB\"=>34:54)",4,"Mecamylamine","17:10:00 - 17:12:00","50uM",NA,NA,"2016-01-28 Thu"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","6","55:75","Dict(\"LAL\"=>55:75)",5,"Mecamylamine","18:25:00 - 18:27:00","50uM",NA,NA,"2016-01-28 Thu"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","7","1:6","Dict(\"PB-out\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-01-29 Fri"
"*** 60D05L Chrimson - 84H05 GCamp6m","Female","LexA","Gal4","60D05","84H05","attP1","VK5","7","7:12","Dict(\"PB-out\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-01-29 Fri"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","7","13:33","Dict(\"LAL\"=>13:33)",3,"Mecamylamine","14:56:00 - 14:58:00","50uM",NA,NA,"2016-01-29 Fri"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","7","34:39","Dict(\"PB-in\"=>34:39)",4,NA,NA,NA,NA,NA,"2016-01-29 Fri"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","5:9","1:21","Dict(\"FB\"=>1:21)",1,"Mecamylamine","11:20:00 - 11:22:00","50uM",NA,NA,"2016-02-01 Mon"
"*** 47G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","47G08","85H06","attP1","VK5","5:9","22:27","Dict(\"FB\"=>22:27)",2,NA,NA,NA,NA,NA,"2016-02-01 Mon"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","5:9","28:33","Dict(\"PB-in\"=>28:33)",3,NA,NA,NA,NA,NA,"2016-02-01 Mon"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","5:9","34:51","Dict(\"LAL\"=>34:51)",4,"Mecamylamine","15:44:00 - 15:46:00","50uM",NA,NA,"2016-02-01 Mon"
"*** 37F06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","37F06","76E11","attP1","VK5","5:9","52:57","Dict(\"LAL\"=>52:57)",5,NA,NA,NA,NA,NA,"2016-02-01 Mon"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","6:8","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-05 Fri"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","6:8","7:12","Dict(\"LAL\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-02-05 Fri"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","6:8","13:18","Dict(\"EB\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-02-05 Fri"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","6:8","19:24","Dict(\"EB\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-02-05 Fri"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","6:8","25:30","Dict(\"FB\"=>25:30)",5,NA,NA,NA,NA,NA,"2016-02-05 Fri"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","4:6","1:6","Dict(\"FB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","4:6","7:12","Dict(\"FB\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","4:6","13:18","Dict(\"LAL\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","4:6","19:24","Dict(\"LAL\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","4:6","25:30","Dict(\"EB\"=>25:30)",5,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","4:6","31:36","Dict(\"EB\"=>31:36)",6,NA,NA,NA,NA,NA,"2016-02-08 Mon"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","5:7","1:6","Dict(\"FB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","5:7","7:12","Dict(\"FB-in\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","5:7","13:18","Dict(\"LAL\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 84H05L Chrimson - 26B07 GCamp6m","Female","LexA","Gal4","84H05","26B07","attP1","VK5","5:7","19:24","Dict(\"LAL\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","5:7","25:30","Dict(\"EB\"=>25:30)",5,NA,NA,NA,NA,NA,"2016-02-09 Tue"
