"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","6","31:55","Dict(\"LAL\"=>31:55)",3,"Mecamylamine","15:30:00 - 15:32:00","50uM",NA,NA,"2016-02-18 Thu"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","7","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-19 Fri"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","7","7:12","Dict(\"LAL\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-02-19 Fri"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","7","13:18","Dict(\"PB-in\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-02-19 Fri"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","5:7","1:23","Dict(\"PB-in\"=>1:23)",1,"Mecamylamine","11:19:00 - 11:21:00","50uM",NA,NA,"2016-02-22 Mon"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","5:7","24:45","Dict(\"PB-in\"=>24:45)",2,"Mecamylamine","13:44:00 - 13:46:00","50uM",NA,NA,"2016-02-22 Mon"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","5:7","46:51","Dict(\"PB-in\"=>46:51)",3,NA,NA,NA,NA,NA,"2016-02-22 Mon"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","6:8","1:24","Dict(\"PB-in\"=>1:24)",1,"Mecamylamine","15:55:00 - 15:57:00","50uM",NA,NA,"2016-02-23 Tue"
"*** 60D05 Chrimson - 55G08L GCamp6m","Female","Gal4","LexA","55G08","60D05","attP1","VK5","9","25:30","Dict(\"PB-in\"=>25:30)",2,NA,NA,NA,NA,NA,"2016-02-23 Tue"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","8:9","1:6","Dict(\"Gall\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-29 Mon"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","8:9","8:29","Dict(\"Gall\"=>8:29)",2,"Mecamylamine","14:16:00 - 14:18:00","50uM",NA,NA,"2016-02-29 Mon"
